Location Type Code,Location Type Desc,Location Code,Location desc,Location Name,Address,Phone,Notes,Lat,Lon
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Domenico DiLuca CC","25 Stanley Rd","416-395-6673","","43.742542","-79.515857"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Don Montgomery CRC","2467 Eglinton Ave E","416-396-4043","","43.733414","-79.262195"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Douglas Snow Aquatic Centre","5100 Yonge St","416-395-7585","","43.767328","-79.414759"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Downsview","2793 Keele St","416-395-5720","","43.729042","-79.482554"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Driftwood CC","4401 Jane St","416-395-6019","Alt. Phone: 416-395-7944","43.765349","-79.518802"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Dufferin/St.Clair","1625 Dufferin St","416-393-7712","","43.67697","-79.44267"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Earl Bales CC","4169 Bathurst St","416-395-7873","","43.753485","-79.437938"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","East York CC","1081 1/2 Pape Ave","416-396-2880","","43.678092","-79.344528"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Eatonville","430 Burnhamthorpe Rd","416-394-5270","","43.646227","-79.559743"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Edithvale CC","131 Finch Ave W","416-395-6164","","43.777195","-79.427091"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Eglinton Square (Eglinton Square Mall)","1 Eglinton Sq, Unit 126","416-396-8920","","43.723746","-79.29922"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Ellesmere CC","20 Canadian Rd","416-396-5536","","43.759189","-79.299354"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Elmbank CC","10 Rampart Rd","416-394-8671","","43.734123","-79.589961"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Elmbrook Park","2 Elmbrook Cres","416-394-5290","","43.660122","-79.583883"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Evelyn Gregory","120 Trowell Ave","416-394-1006","","43.686052","-79.472244"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Fairbank Memorial CC","2213 Dufferin St","416-394-2473","","43.690986","-79.44827"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Fairmount CC","1757 Gerrard St E","416-392-7060","","43.676555","-79.314723"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Falstaff CC","50 Falstaff Ave","416-395-7924","","43.716287","-79.503255"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Flemingdon Park","29 St. Dennis Dr","416-395-5820","","43.718039","-79.331626"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Flemingdon Park CC","150 Grenoble Dr","416-395-0300","Alt. Phone: 416-395-6014","43.713689","-79.326289"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Forest Hill","700 Eglinton Ave W","416-393-7706","","43.702009","-79.420842"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Gerrard/Ashdale","1432 Gerrard St E","416-393-7717","","43.672295","-79.322078"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Glen Long CC","35 Glen Long Ave","416-395-7961","","43.708625","-79.45614"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Goldhawk Park","295 Alton Towers Cir","416-396-8964","","43.822503","-79.276469"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Gord & Irene Risk CC","2650 Finch Ave W","416-395-7953","","43.74732","-79.566491"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Goulding CC","45 Goulding Ave","416-395-0123","","43.791493","-79.421158"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Grandravine CC","23 Grandravine Dr","416-395-6171","","43.75192","-79.489533"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Guildwood (Guildwood Plaza)","123 Guildwood Pky","416-396-8872","","43.746971","-79.199147"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Heron Park CRC","292 Manse Rd","416-396-4035","","43.768413","-79.175414"
"COOL_LOCN","Cooling Location","LIBRARY","Library","High Park","228 Roncesvalles Ave","416-393-7671","","43.645124","-79.448984"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Highland Creek","3550 Ellesmere Rd","416-396-8876","","43.789751","-79.175023"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Hillcrest","5801 Leslie St","416-395-5830","","43.796601","-79.369526"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Humber Bay","200 Park Lawn Rd","416-394-5300","","43.630302","-79.491116"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Humber Summit","2990 Islington Ave","416-395-5840","","43.759351","-79.57133"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Humberwood","850 Humberwood Blvd","416-394-5210","","43.728735","-79.61946"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Humberwood CC","850 Humberwood Blvd","416-394-5700","","43.728735","-79.61946"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Irving W. Chapley CC","205 Wilmington Ave","416-395-0453","","43.761603","-79.456022"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Jane/Dundas","620 Jane St","416-394-1014","","43.665314","-79.491035"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Jane/Sheppard","1906 Sheppard Ave W","416-395-5966","","43.73948","-79.510787"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","John Innes CRC","150 Sherbourne St","416-392-6779","","43.655492","-79.370084"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Jones","118 Jones Ave","416-393-7715","","43.665869","-79.334174"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Joseph J. Piccininni CRC","1369 St. Clair Ave W","416-392-0036","","43.675737","-79.45224"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Kennedy/Eglinton (Liberty Square Shopping Plaza)","2380 Eglinton Ave E","416-396-8924","","43.73229","-79.270418"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","L'Amoreaux CRC","2000 McNicoll Ave","416-396-4510","","43.81204","-79.30503"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Lawrence Heights CC","5 Replin Rd","416-395-6120","","43.718485","-79.44304"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Leaside","165 McRae Dr","416-396-3835","","43.705752","-79.36812"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Lillian H. Smith","239 College St","416-393-7746","","43.657976","-79.398333"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Locke","3083 Yonge St","416-393-7730","","43.724793","-79.401873"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Long Branch","3500 Lake Shore Blvd W","416-394-5320","","43.595063","-79.531011"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Main Street","137 Main St","416-393-7700","","43.683348","-79.299923"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Malvern","30 Sewells Rd","416-396-8969","","43.807898","-79.216093"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Malvern CRC","30 Sewells Rd","416-396-4054","","43.807898","-79.216093"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Maria A. Shchuka","1745 Eglinton Ave W","416-394-1000","","43.696234","-79.447669"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Mary McCormick RC","66 Sheridan Ave","416-392-0742","","43.647438","-79.432853"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Maryvale (Parkway Plaza)","85 Ellesmere Rd, Unit 16","416-396-8931","","43.757565","-79.313253"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Masaryk-Cowan CRC","220 Cowan Ave","416-392-6928","","43.777791","-79.211597"
"COOL_LOCN","Cooling Location","LIBRARY","Library","McGregor Park","2219 Lawrence Ave E","416-396-8935","","43.748653","-79.277392"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","McGregor Park RC","2231 Lawrence Ave E","416-396-4023","","43.747491","-79.280128"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Milliken Park CRC","4325 McCowan Rd","416-396-7757","","43.829879","-79.274265"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Mitchell Field CC","89 Church Ave","416-395-0262","","43.774886","-79.408439"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Morningside","4279 Lawrence Ave E","416-396-8881","","43.768491","-79.186277"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Mount Pleasant","599 Mount Pleasant Rd","416-393-7737","","43.703859","-79.388328"
"COOL_LOCN","Cooling Location","LIBRARY","Library","New Toronto","110 Eleventh St","416-394-5350","","43.599659","-79.509661"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","North Kipling CC","2 Rowntree Rd","416-394-8679","","43.751207","-79.584746"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","North Toronto Memorial CC","200 Eglinton Ave W","416-392-6591","Alt. Phone: 416-392-6570","43.706927","-79.404523"
"COOL_LOCN","Cooling Location","LIBRARY","Library","North York Central Library","5120 Yonge St","416-395-5535","","43.768177","-79.414555"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Northern District","40 Orchard View Blvd","416-393-7610","","43.708245","-79.399894"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Northern Elms","123B Rexdale Blvd, Unit 5","416-394-5230","","43.711781","-79.565456"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Northwood CC","15 Clubhouse Crt","416-395-6033","","43.745623","-79.500402"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","O'Connor CC","1386 Victoria Park Ave","416-395-7957","","43.718877","-79.300175"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Oakdale CC","350 Grandravine Dr","416-395-0484","Alt. Phone: 416-395-0488","43.747146","-79.514912"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Oakridge CRC","63 Pharmacy Ave","416-338-1966","","43.695075","-79.284521"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Oakwood Village Library and Arts Centre","341 Oakwood Ave","416-394-1040","","43.686522","-79.438255"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Oriole CC","2975 Don Mills Rd","416-395-7968","Alt. Phone: 416-395-7969","43.780266","-79.348717"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Ourland CC","18 Ourland Ave","416-394-8673","","43.615545","-79.50789"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Palmerston","560 Palmerston Ave","416-393-7680","","43.665043","-79.413809"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Pape/Danforth","701 Pape Ave","416-393-7727","","43.678596","-79.344501"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Parkdale","1303 Queen St W","416-393-7686","","43.64113","-79.432558"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Parliament","269 Gerrard St E","416-393-7663","","43.66183","-79.367981"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Pelmo Park CC","171 Pellatt Ave","416-394-2747","","43.714465","-79.520448"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Perth/Dupont","1589 Dupont St","416-393-7677","","43.665136","-79.453908"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Pleasant View","575 Van Horne Ave","416-395-5940","","43.787698","-79.335553"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Pleasantview CC","545 Van Horne Ave","416-395-6006","","43.787005","-79.336964"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Port Union","5450 Lawrence Ave E","416-396-8885","","43.779232","-79.138625"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Port Union RC","5450 Lawrence Ave E","416-396-4031","","43.779232","-79.138625"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Queen/Saulter","765 Queen St E","416-393-7723","","43.659074","-79.347532"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Regent Park Aquatic Centre","640 Dundas Ave E","416-338-2237","","43.66065","-79.360562"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Rexdale","2243 Kipling Ave","416-394-5200","","43.725871","-79.57346"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Richview","1806 Islington Ave","416-394-5120","","43.683608","-79.540796"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Riverdale","370 Broadview Ave","416-393-7720","","43.666129","-79.352902"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Roding CC","600 Roding St","416-395-7964","","43.729073","-79.492049"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Runnymede","2178 Bloor St W","416-393-7697","","43.651975","-79.473923"
"COOL_LOCN","Cooling Location","LIBRARY","Library","S.Walter Stewart","170 Memorial Park Ave","416-396-3975","","43.692138","-79.329711"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Sanderson","327 Bathurst St","416-393-7653","","43.651184","-79.405548"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Scadding Court CC","707 Dundas St W","416-392-0335","","43.651424","-79.404121"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Scarborough Village RC","3600 Kingston Rd","416-396-4048","","43.740143","-79.216822"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Seneca Village RC","1700 Finch Ave E","416-395-6011","","43.793654","-79.350547"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Spadina Road","10 Spadina Rd","416-393-7666","","43.667685","-79.404261"
"COOL_LOCN","Cooling Location","LIBRARY","Library","St. James Town","495 Sherbourne St","416-393-7744","","43.667744","-79.374933"
"COOL_LOCN","Cooling Location","LIBRARY","Library","St. Lawrence","171 Front St E","416-393-7655","","43.650283","-79.368255"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","St. Lawrence CRC","230 The Esplanade","416-392-1347","","43.649619","-79.364923"
"COOL_LOCN","Cooling Location","LIBRARY","Library","St.Clair/Silverthorn","1748 St. Clair Ave W","416-393-7709","","43.674157","-79.460582"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Stan Wadlow Clubhouse ","373 Cedarvale Ave","416-396-2842","","43.698166","-79.315131"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Steeles (Bamburgh Gardens Plaza)","375 Bamburgh Cir, U-C107","416-396-8975","","43.816085","-79.322501"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Stephen Leacock RC","2500 Birchmount Rd","416-396-4039","","43.786649","-79.302492"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Swansea Memorial","95 Lavinia Ave","416-393-7695","","43.647632","-79.477978"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Taylor Memorial","1440 Kingston Rd","416-396-8939","","43.687755","-79.27096"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Thistletown CC","925 Albion Rd","416-394-8717","","43.73536","-79.562366"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Thorncliffe","48 Thorncliffe Park Dr","416-396-3685","","43.702901","-79.34258"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Todmorden Room","1081 1/2 Pape Ave","416-396-3875","","43.678092","-79.344528"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Toronto Reference Library","789 Yonge St","416-395-5577","","43.671791","-79.386815"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Trace Manes Centennial Bldg","110 Rumsey Rd","416-396-2853","","43.70555","-79.36731"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Urban Affairs (Metro Hall)","55 John St","416-397-7241","","43.646029","-79.389133"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Victoria Village","184 Sloane Ave","416-395-5950","","43.736279","-79.312599"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Viewmount CC","169 Viewmount Ave","416-395-7961","","43.708326","-79.437681"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Wallace Emerson CC","1260 Dufferin St","416-392-0039","","43.667344","-79.439532"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Warden Hilltop Community Centre","25 Mendelssohn St","416-392-7640","","43.71467","-79.280621"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Wellesley CC","495 Sherbourne St","416-392-0227","","43.667744","-79.374933"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","West Rouge CC","270 Rouge Hills Dr","416-396-4147","","43.79291","-79.126003"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Weston","2 King St","416-394-1016","","43.701691","-79.520738"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Woodside Square (Woodside Square Mall)","1571 Sandhurst Cir","416-396-8979","","43.808893","-79.269855"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Woodview Park","16 Bradstock Rd","416-395-5960","","43.739236","-79.538328"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Wychwood","1431 Bathurst St","416-393-7683","","43.681952","-79.417816"
"COOL_LOCN","Cooling Location","LIBRARY","Library","York Woods","1785 Finch Ave W","416-395-5980","","43.759142","-79.507456"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Yorkville","22 Yorkville Ave","416-393-7660","","43.671911","-79.388645"
"COOL_CNTR","Cooling Centre","REC_CNTR","Recreation Centre","Centennial Community Centre","1967 Ellesmere Rd","null","11:00 a.m. - 7:00 p.m.","43.775498","-79.236204"
"COOL_CNTR","Cooling Centre","COMM_CNTR","Community Centre","Driftwood Community Centre","4401 Jane St","null","11:00 a.m. - 7:00 p.m.","43.765349","-79.518802"
"COOL_CNTR","Cooling Centre","CVC_CNTR","Civic Centre","East York Civic Centre","850 Coxwell Avenue","null","11:00 a.m. - 7:00 p.m.","43.691227","-79.328354"
"COOL_CNTR","Cooling Centre","CVC_CNTR","Civic Centre","Etobicoke Civic Centre ","399 The West Mall","null","11:00 a.m. - 7:00 p.m.","43.643502","-79.566094"
"COOL_CNTR","Cooling Centre","COMM_CNTR","Community Centre","McGregor Community Centre","2231 Lawrence Ave East","null","11:00 a.m. - 7:00 p.m.","43.747491","-79.280128"
"COOL_CNTR","Cooling Centre","CVC_CNTR","Civic Centre","Metro Hall","55 John Street","null","Open 24 hours/day","43.646029","-79.389133"
"COOL_CNTR","Cooling Centre","CVC_CNTR","Civic Centre","North York Civic Centre","5100 Yonge Street","null","11:00 a.m. - 7:00 p.m.","43.767328","-79.414759"
